Starting DroneDriver
ToggleCam 0
vel_y, Err, 69.000000, P, 0.086250, I, 0.000000, D, 0.005000, PID, 0.091250
vel_x, Err, -23.000000, P, -0.023000, I, 0.000000, D, 0.000000, PID, -0.023000
vel_y, Err, 69.000000, P, 0.086250, I, 0.000000, D, 0.000000, PID, 0.086250
vel_x, Err, -23.000000, P, -0.023000, I, 0.000000, D, 0.000000, PID, -0.023000
vel_y, Err, 69.000000, P, 0.086250, I, 0.000000, D, 0.000000, PID, 0.086250
vel_x, Err, -39.000000, P, -0.039000, I, 0.000000, D, 0.000000, PID, -0.039000
vel_y, Err, 73.000000, P, 0.091250, I, 0.000000, D, 0.000000, PID, 0.091250
vel_x, Err, -42.000000, P, -0.042000, I, 0.000000, D, -0.003000, PID, -0.045000
vel_y, Err, 68.000000, P, 0.085000, I, 0.000000, D, -0.006250, PID, 0.078750
vel_x, Err, -49.000000, P, -0.049000, I, 0.000000, D, -0.007000, PID, -0.056000
vel_y, Err, 48.000000, P, 0.060000, I, 0.000000, D, -0.025000, PID, 0.035000
vel_x, Err, -53.000000, P, -0.053000, I, 0.000000, D, -0.004000, PID, -0.057000
vel_y, Err, 37.000000, P, 0.046250, I, 0.000000, D, -0.013750, PID, 0.032500
vel_x, Err, -53.000000, P, -0.053000, I, 0.000000, D, 0.000000, PID, -0.053000
vel_y, Err, 37.000000, P, 0.046250, I, 0.000000, D, 0.000000, PID, 0.046250
vel_x, Err, -53.000000, P, -0.053000, I, 0.000000, D, 0.000000, PID, -0.053000
vel_y, Err, 37.000000, P, 0.046250, I, 0.000000, D, 0.000000, PID, 0.046250
vel_x, Err, 49.000000, P, 0.049000, I, 0.000000, D, 0.000000, PID, 0.049000
vel_y, Err, -59.000000, P, -0.073750, I, 0.000000, D, 0.000000, PID, -0.073750
vel_x, Err, 44.000000, P, 0.044000, I, 0.000000, D, -0.005000, PID, 0.039000
vel_y, Err, -67.000000, P, -0.083750, I, 0.000000, D, -0.010000, PID, -0.093750
vel_x, Err, 44.000000, P, 0.044000, I, 0.000000, D, 0.000000, PID, 0.044000
vel_y, Err, -67.000000, P, -0.083750, I, 0.000000, D, 0.000000, PID, -0.083750
vel_x, Err, 44.000000, P, 0.044000, I, 0.000000, D, 0.000000, PID, 0.044000
vel_y, Err, -67.000000, P, -0.083750, I, 0.000000, D, 0.000000, PID, -0.083750
vel_x, Err, 51.000000, P, 0.051000, I, 0.000000, D, 0.000000, PID, 0.051000
vel_y, Err, -35.000000, P, -0.043750, I, 0.000000, D, 0.000000, PID, -0.043750
vel_x, Err, 51.000000, P, 0.051000, I, 0.000000, D, 0.000000, PID, 0.051000
vel_y, Err, -35.000000, P, -0.043750, I, 0.000000, D, 0.000000, PID, -0.043750
vel_x, Err, 53.000000, P, 0.053000, I, 0.000000, D, 0.002000, PID, 0.055000
vel_y, Err, -23.000000, P, -0.028750, I, 0.000000, D, 0.015000, PID, -0.013750
vel_x, Err, 50.000000, P, 0.050000, I, 0.000000, D, -0.003000, PID, 0.047000
vel_y, Err, -20.000000, P, -0.025000, I, 0.000000, D, 0.003750, PID, -0.021250
vel_x, Err, 48.000000, P, 0.048000, I, 0.000000, D, -0.002000, PID, 0.046000
vel_y, Err, -15.000000, P, -0.018750, I, 0.000000, D, 0.006250, PID, -0.012500
vel_x, Err, 50.000000, P, 0.050000, I, 0.000000, D, 0.002000, PID, 0.052000
vel_y, Err, -13.000000, P, -0.016250, I, 0.000000, D, 0.002500, PID, -0.013750
vel_x, Err, 53.000000, P, 0.053000, I, 0.000000, D, 0.003000, PID, 0.056000
vel_y, Err, -2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_x, Err, 54.000000, P, 0.054000, I, 0.000000, D, 0.001000, PID, 0.055000
vel_y, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_x, Err, 50.000000, P, 0.050000, I, 0.000000, D, -0.004000, PID, 0.046000
vel_y, Err, 14.000000, P, 0.017500, I, 0.000000, D, 0.033750, PID, 0.051250
vel_x, Err, 46.000000, P, 0.046000, I, 0.000000, D, -0.004000, PID, 0.042000
vel_y, Err, 21.000000, P, 0.026250, I, 0.000000, D, 0.008750, PID, 0.035000
vel_x, Err, 38.000000, P, 0.038000, I, 0.000000, D, -0.008000, PID, 0.030000
vel_y, Err, 33.000000, P, 0.041250, I, 0.000000, D, 0.015000, PID, 0.056250
vel_x, Err, 34.000000, P, 0.034000, I, 0.000000, D, -0.004000, PID, 0.030000
vel_y, Err, 37.000000, P, 0.046250, I, 0.000000, D, 0.005000, PID, 0.051250
vel_x, Err, 24.000000, P, 0.024000, I, 0.000000, D, -0.010000, PID, 0.014000
vel_y, Err, 42.000000, P, 0.052500, I, 0.000000, D, 0.006250, PID, 0.058750
vel_x, Err, 17.000000, P, 0.017000, I, 0.000000, D, -0.007000, PID, 0.010000
vel_y, Err, 43.000000, P, 0.053750, I, 0.000000, D, 0.001250, PID, 0.055000
vel_x, Err, 6.000000, P, 0.006000, I, 0.000000, D, -0.011000, PID, -0.005000
vel_y, Err, 46.000000, P, 0.057500, I, 0.000000, D, 0.003750, PID, 0.061250
vel_x, Err, -1.000000, P, -0.001000, I, 0.000000, D, -0.007000, PID, -0.008000
vel_y, Err, 48.000000, P, 0.060000, I, 0.000000, D, 0.002500, PID, 0.062500
vel_x, Err, -22.000000, P, -0.022000, I, 0.000000, D, -0.021000, PID, -0.043000
vel_y, Err, 55.000000, P, 0.068750, I, 0.000000, D, 0.008750, PID, 0.077500
vel_x, Err, -31.000000, P, -0.031000, I, 0.000000, D, -0.009000, PID, -0.040000
